2026-01-18 05:17:04,961 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:17:04,964 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:17:04,964 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:17:04,964 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:17:04,964 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:17:04,965 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
2026-01-18 05:25:25,320 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:25:25,323 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:25:25,323 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:25:25,323 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:25:25,323 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:25:25,324 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
2026-01-18 05:26:18,305 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:26:18,307 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:26:18,307 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:26:18,307 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:26:18,307 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:26:18,308 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
2026-01-18 05:43:11,679 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:43:11,681 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:43:11,682 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:43:11,682 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:43:11,682 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:43:11,683 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
2026-01-18 05:47:25,119 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:47:25,121 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:47:25,122 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:47:25,122 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:47:25,122 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:47:25,122 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
2026-01-18 05:50:14,505 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:50:14,507 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:50:14,507 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:50:14,507 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:50:14,507 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:50:14,508 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
2026-01-18 05:51:36,344 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:51:36,346 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:51:36,346 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:51:36,346 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:51:36,346 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:51:36,347 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
2026-01-18 05:52:50,341 | INFO    | runtime:pipeline_assistant | orchestrator:81 | run | Just entered Orchestrator ...
2026-01-18 05:52:50,343 | INFO    | runtime:pipeline_assistant | orchestrator:94 | run | We are inside graph.astream - an event is emitted ...
2026-01-18 05:52:50,343 | INFO    | runtime:pipeline_assistant | orchestrator:95 | run | {'stage_router': None}
2026-01-18 05:52:50,343 | INFO    | runtime:pipeline_assistant | orchestrator:97 | run | Emitting graph_event ...
2026-01-18 05:52:50,343 | INFO    | runtime:pipeline_assistant | orchestrator:100 | run | Now waiting for graph_event response
2026-01-18 05:52:50,344 | INFO    | runtime:pipeline_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'pipeline_assistant'
