2026-01-25 15:44:41,156 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 15:51:10,362 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 15:53:40,521 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 15:54:57,211 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 15:55:40,957 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 15:57:26,083 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:00:10,061 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:00:51,310 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:01:21,976 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:33:40,402 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:38:58,495 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:39:15,168 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:42:17,338 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:44:30,183 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 16:58:09,979 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 17:02:20,475 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
2026-01-25 17:03:42,323 | INFO    | runtime:travel_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'travel_assistant'
