2026-02-16 16:57:00,787 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 16:58:37,979 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 16:59:38,137 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:00:27,881 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:01:46,324 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:03:28,174 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:04:31,049 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:05:25,698 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:07:12,732 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:07:33,387 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
2026-02-16 17:37:15,550 | INFO    | system:global | config_api_manager:15 | __init__ | Path: /Users/raymondordona/Workspace/ai/projects/agentic_system/macro_services/config_api_manager.py
